FECHA (YYMMDD);HORA (HHMM);;
200312;0700;14,5252;
200312;0800;16,2;
200312;0900;18,825;
200312;1000;20,55;
200312;1100;21,6667;
200312;1200;24,5083;
200312;1300;25,9417;
200312;1400;27,2667;
200312;1500;28,2583;
200312;1600;28,3583;
200312;1700;28,0333;
200312;1800;27,3333;
200312;1900;24,9917;
200312;2000;22,725;
200312;2100;20,9417;
200312;2200;19,8333;
200312;2300;18,875;
200313;0000;17,5917;
200313;0100;17,0833;
200313;0200;16,4417;
200313;0300;15,8835;
200313;0400;15,0917;
200313;0500;14,6534;
200313;0600;14,2283;
200313;0700;13,9198;
200313;0800;15,6446;
200313;0900;17,475;
200313;1000;20,5083;
200313;1100;22,4333;
200313;1200;23,975;
200313;1300;25,2917;
200313;1400;26,4833;
200313;1500;27,2667;
200313;1600;27,725;
200313;1700;28,0167;
200313;1800;27,6083;
200313;1900;25,7851;
200313;2000;23,8167;
200313;2100;22,0667;
200313;2200;20,9;
200313;2300;19,7667;
200314;0000;18,8583;
200314;0100;17,8986;
200314;0200;16,8648;
200314;0300;16,5145;
200314;0400;15,9029;
200314;0500;15,3027;
200314;0600;14,9942;
200314;0700;14,7691;
200314;0800;16,6;
200314;0900;19,9833;
200314;1000;23,3167;
200314;1100;24,6;
200314;1200;25,8167;
200314;1300;27,2667;
200314;1400;28,2;
200314;1500;29,5667;
200314;1600;29,65;
200314;1700;29,9333;
200314;1800;29,025;
200314;1900;26,6837;
200314;2000;24,2917;
200314;2100;22,6167;
200314;2200;21,4083;
200314;2300;20,1083;
200315;0000;19,1;
200315;0100;18,325;
200315;0200;17,5333;
200315;0300;16,575;
200315;0400;15,6833;
200315;0500;15,2333;
200315;0600;14,7768;
200315;0700;14,7833;
200315;0800;17,0917;
200315;0900;21,9917;
200315;1000;24,2583;
200315;1100;26,0583;
200315;1200;27,325;
200315;1300;29,05;
200315;1400;29,9083;
200315;1500;30,675;
200315;1600;30,8417;
200315;1700;30,6083;
200315;1800;29,15;
200315;1900;26,8083;
200315;2000;24,4583;
200315;2100;22,5583;
200315;2200;21,0384;
200315;2300;19,413;
200316;0000;18,3543;
200316;0100;17,575;
200316;0200;16,7083;
200316;0300;15,2583;
200316;0400;14,4;
200316;0500;13,7913;
200316;0600;13,4094;
200316;0700;13,225;
200316;0800;14,7417;
200316;0900;17,0333;
200316;1000;19,6;
200316;1100;21,5417;
200316;1200;23,7083;
200316;1300;24,6833;
200316;1400;25,2083;
200316;1500;25,5833;
200316;1600;25,2667;
200316;1700;24,625;
200316;1800;23,225;
200316;1900;20,7917;
200316;2000;18,5917;
200316;2100;17,1667;
200316;2200;16,35;
200316;2300;15,4583;
200317;0000;15,0167;
200317;0100;14,1333;
200317;0200;13,3333;
200317;0300;12,9909;
200317;0400;12,775;
200317;0500;12,1;
200317;0600;11,9003;
200317;0700;11,9333;
200317;0800;13,0333;
200317;0900;16,5333;
200317;1000;18,4583;
200317;1100;20,2333;
200317;1200;22,2333;
200317;1300;24,1;
200317;1400;25,2917;
200317;1500;26,5083;
200317;1600;26,8333;
200317;1700;26,7167;
200317;1800;25,8417;
200317;1900;24,0167;
200317;2000;21,7833;
200317;2100;19,9417;
200317;2200;18,775;
200317;2300;17,8167;
200318;0000;16,5015;
200318;0100;15,85;
200318;0200;15,1667;
200318;0300;14,5;
200318;0400;13,8833;
200318;0500;13,0117;
200318;0600;12,7783;
200318;0700;12,85;
200318;0800;14,7333;
200318;0900;18,075;
200318;1000;20,4833;
200318;1100;22,9667;
200318;1200;24,9583;
200318;1300;26,2833;
200318;1400;27,2583;
200318;1500;27,9833;
200318;1600;28,0417;
200318;1700;27,6833;
200318;1800;26,1583;
200318;1900;24,0083;
200318;2000;21,6333;
200318;2100;20,075;
200318;2200;18,8417;
