FECHA (YYMMDD);HORA (HHMM);;
200313;0000;120,52;
200313;0100;224,578;
200313;0200;93,6912;
200313;0300;282,632;
200313;0400;265,297;
200313;0500;279,202;
200313;0600;245,313;
200313;0700;265,306;
200313;0800;259,725;
200313;0900;238,936;
200313;1000;215,818;
200313;1100;263,538;
200313;1200;252,704;
200313;1300;230,84;
200313;1400;229,438;
200313;1500;242,223;
200313;1600;237,193;
200313;1700;230,743;
200313;1800;242,871;
200313;1900;238,768;
200313;2000;235,415;
200313;2100;217,341;
200313;2200;234,583;
200313;2300;226,571;
200314;0000;284,289;
200314;0100;300,624;
200314;0200;109,264;
200314;0300;268,051;
200314;0400;262,905;
200314;0500;284,111;
200314;0600;269,205;
200314;0700;247,111;
200314;0800;265,055;
200314;0900;283,68;
200314;1000;328,026;
200314;1100;303,195;
200314;1200;232,64;
200314;1300;237,391;
200314;1400;245,053;
200314;1500;247,175;
200314;1600;231,04;
200314;1700;236,905;
200314;1800;238,36;
200314;1900;238,94;
200314;2000;224,667;
200314;2100;223,478;
200314;2200;231,499;
200314;2300;221,864;
200315;0000;54,5534;
200315;0100;253,501;
200315;0200;273,393;
200315;0300;282,184;
200315;0400;247,2;
200315;0500;62,9732;
200315;0600;313,992;
200315;0700;299,008;
200315;0800;308,378;
200315;0900;122,09;
200315;1000;334,595;
200315;1100;315,805;
200315;1200;252,399;
200315;1300;213,698;
200315;1400;230,835;
200315;1500;237,307;
200315;1600;246,621;
200315;1700;243,239;
200315;1800;243,525;
200315;1900;234,422;
200315;2000;219,111;
200315;2100;223,11;
200315;2200;226,208;
200315;2300;208,786;
200316;0000;178,849;
200316;0100;43,7186;
200316;0200;266,552;
200316;0300;272,655;
200316;0400;262,004;
200316;0500;121,095;
200316;0600;252,42;
200316;0700;306,097;
200316;0800;256,188;
200316;0900;250,294;
200316;1000;280,81;
200316;1100;243,831;
200316;1200;251,608;
200316;1300;242,605;
200316;1400;227,406;
200316;1500;234,652;
200316;1600;232,96;
200316;1700;237,805;
200316;1800;239,552;
200316;1900;227,304;
200316;2000;223,842;
200316;2100;229,432;
200316;2200;230,784;
200316;2300;227,119;
200317;0000;243,369;
200317;0100;243,26;
200317;0200;254,572;
200317;0300;251,056;
200317;0400;257,843;
200317;0500;263,675;
200317;0600;270,348;
200317;0700;275,359;
200317;0800;242,593;
200317;0900;147,827;
200317;1000;270,683;
200317;1100;248,993;
200317;1200;233,795;
200317;1300;246,034;
200317;1400;231,172;
200317;1500;242,439;
200317;1600;242,667;
200317;1700;236,669;
200317;1800;242,222;
200317;1900;237,455;
200317;2000;225,05;
200317;2100;205,215;
200317;2200;216,102;
200317;2300;202,188;
200318;0000;349,083;
200318;0100;246,563;
200318;0200;293,998;
200318;0300;297,893;
200318;0400;68,1124;
200318;0500;60,4404;
200318;0600;234,649;
200318;0700;243,451;
200318;0800;235,44;
200318;0900;264,129;
200318;1000;237,81;
200318;1100;247,021;
200318;1200;264,677;
200318;1300;240,249;
200318;1400;242,855;
200318;1500;231,474;
200318;1600;241,826;
200318;1700;242,256;
200318;1800;238,121;
200318;1900;233,386;
200318;2000;218,618;
200318;2100;227,019;
200318;2200;207,874;
200318;2300;206,03;
200319;0000;222,739;
200319;0100;236,352;
200319;0200;48,8;
200319;0300;219,261;
200319;0400;256,761;
200319;0500;274,608;
200319;0600;233,644;
200319;0700;204,854;
200319;0800;270,207;
200319;0900;259,676;
200319;1000;273,2;
200319;1100;286,397;
200319;1200;230,56;
200319;1300;265,858;
200319;1400;279,941;
200319;1500;254,773;
200319;1600;238,613;
200319;1700;236,263;
200319;1800;245,385;
200319;1900;233,559;
200319;2000;227,506;
200319;2100;228,972;
200319;2200;207,721;
200319;2300;191,601;
200320;0000;36,6258;
200320;0100;297,658;
200320;0200;94,5558;
200320;0300;241,136;
200320;0400;332,916;
200320;0500;264,045;
200320;0600;211,345;
200320;0700;100,855;
200320;0800;268,707;
200320;0900;264,038;
200320;1000;288,065;
200320;1100;292,603;
200320;1200;241,122;
200320;1300;242,04;
200320;1400;242,938;
200320;1500;231,538;
200320;1600;237,264;
200320;1700;238,002;
200320;1800;244,006;
200320;1900;245,364;
200320;2000;224,225;
200320;2100;229,571;
200320;2200;226,058;
200320;2300;243,922;
200321;0000;249,125;
200321;0100;236,03;
200321;0200;236,383;
200321;0300;249,394;
200321;0400;259,748;
200321;0500;255,733;
200321;0600;259,848;
200321;0700;255,801;
200321;0800;255,27;
200321;0900;243,198;
200321;1000;236,716;
200321;1100;233,226;
200321;1200;244,395;
200321;1300;234,36;
200321;1400;236,968;
200321;1500;231,849;
200321;1600;243,953;
200321;1700;235,836;
200321;1800;236,808;
200321;1900;246,514;
200321;2000;234,397;
200321;2100;220,255;
200321;2200;223,485;
200321;2300;244,931;
200322;0000;241,62;
200322;0100;266,98;
200322;0200;242,32;
200322;0300;223,319;
200322;0400;186,219;
200322;0500;114,206;
200322;0600;123,274;
200322;0700;173,59;
200322;0800;293,598;
200322;0900;301,235;
200322;1000;107,945;
200322;1100;207,678;
200322;1200;219,174;
200322;1300;212,875;
200322;1400;250,821;
200322;1500;250,67;
200322;1600;241,152;
200322;1700;230,922;
200322;1800;238,852;
200322;1900;244,661;
200322;2000;235,997;
200322;2100;228,517;
200322;2200;227,787;
200322;2300;227,965;
200323;0000;248,01;
200323;0100;239,579;
200323;0200;258,149;
200323;0300;251,79;
200323;0400;245,992;
200323;0500;69,1281;
200323;0600;193,853;
200323;0700;254,318;
200323;0800;256,532;
200323;0900;162,109;
200323;1000;231,354;
200323;1100;168,444;
200323;1200;185,88;
200323;1300;234,567;
200323;1400;253,092;
200323;1500;242,649;
200323;1600;232,73;
200323;1700;231,344;
200323;1800;233,795;
200323;1900;225,548;
200323;2000;204,851;
200323;2100;242,359;
200323;2200;218,849;
200323;2300;3,59143;
200324;0000;206,453;
200324;0100;35,1832;
200324;0200;59,0395;
200324;0300;76,4135;
200324;0400;47,9982;
200324;0500;316,681;
200324;0600;192,064;
200324;0700;194,789;
200324;0800;269,693;
200324;0900;121,648;
200324;1000;45,7712;
200324;1100;287,23;
200324;1200;245,58;
200324;1300;228,429;
200324;1400;236,133;
200324;1500;233,244;
200324;1600;241,14;
200324;1700;240,565;
200324;1800;240,526;
200324;1900;233,191;
200324;2000;204,209;
200324;2100;230,562;
200324;2200;232,419;
200324;2300;228,228;
200325;0000;206,412;
200325;0100;287,926;
200325;0200;338,62;
200325;0300;291,365;
200325;0400;270,259;
200325;0500;240,785;
200325;0600;47,5321;
200325;0700;245,311;
200325;0800;193,664;
200325;0900;148,686;
200325;1000;189,669;
200325;1100;227,313;
200325;1200;43,1692;
200325;1300;245,711;
200325;1400;227,859;
200325;1500;231,77;
200325;1600;240,1;
200325;1700;235,779;
200325;1800;228,745;
200325;1900;239,444;
200325;2000;237,329;
200325;2100;228,468;
200325;2200;245,598;
200325;2300;260,171;
200326;0000;21,6772;
200326;0100;37,2469;
200326;0200;233,849;
200326;0300;112,748;
200326;0400;249,713;
200326;0500;295,541;
200326;0600;278,075;
200326;0700;303,061;
200326;0800;273,243;
200326;0900;81,451;
200326;1000;264,212;
200326;1100;252,967;
200326;1200;247,831;
200326;1300;238,001;
200326;1400;246,511;
200326;1500;238,115;
200326;1600;236,646;
200326;1700;235,647;
200326;1800;234,161;
200326;1900;232,477;
200326;2000;223,896;
200326;2100;231,059;
200326;2200;264,512;
200326;2300;253,326;
200327;0000;267,938;
200327;0100;258,421;
200327;0200;248,79;
200327;0300;245,771;
200327;0400;242,721;
200327;0500;210,883;
200327;0600;169,235;
200327;0700;224,47;
200327;0800;134,735;
200327;0900;351,949;
200327;1000;344,552;
200327;1100;261,141;
200327;1200;243,133;
200327;1300;246,871;
200327;1400;231,142;
200327;1500;235,495;
200327;1600;238,673;
200327;1700;231,116;
200327;1800;234,114;
200327;1900;233,355;
200327;2000;229,416;
200327;2100;245,409;
200327;2200;254,229;
200327;2300;266,296;
200328;0000;279,608;
200328;0100;284,556;
200328;0200;255,962;
200328;0300;246,822;
200328;0400;50,8856;
200328;0500;85,219;
200328;0600;232,376;
200328;0700;250,498;
200328;0800;225,456;
200328;0900;217,513;
200328;1000;290,693;
200328;1100;280,597;
200328;1200;228,277;
200328;1300;233,798;
200328;1400;242,444;
200328;1500;241,538;
200328;1600;223,687;
200328;1700;237,035;
200328;1800;247,088;
200328;1900;236,461;
200328;2000;235,058;
200328;2100;231,721;
200328;2200;262,646;
200328;2300;277,323;
200329;0000;286,069;
200329;0100;222,283;
200329;0200;92,8156;
200329;0300;220,99;
200329;0400;278,9;
200329;0500;279,36;
200329;0600;93,1084;
200329;0700;359,272;
200329;0800;99,0576;
200329;0900;327,994;
200329;1000;285,02;
200329;1100;156,136;
200329;1200;100,383;
200329;1300;200,865;
200329;1400;243,572;
200329;1500;240,451;
200329;1600;237,239;
200329;1700;240,717;
200329;1800;241,671;
200329;1900;239,979;
200329;2000;223,497;
200329;2100;223,464;
200329;2200;313,579;
200329;2300;216,379;
200330;0000;65,1169;
200330;0100;220,953;
200330;0200;285,017;
200330;0300;120,614;
200330;0400;193,855;
200330;0500;224,458;
200330;0600;336,281;
200330;0700;29,4586;
200330;0800;269,869;
200330;0900;268,511;
200330;1000;309,872;
200330;1100;317,928;
200330;1200;42,8767;
200330;1300;182,324;
200330;1400;252,104;
200330;1500;232,768;
200330;1600;233,803;
200330;1700;225,766;
200330;1800;217,432;
200330;1900;231,384;
200330;2000;210,653;
200330;2100;244,355;
200330;2200;237,915;
200330;2300;37,4706;
200331;0000;223,282;
200331;0100;255,319;
200331;0200;221,169;
200331;0300;117,674;
200331;0400;22,3554;
200331;0500;255,341;
200331;0600;352,307;
200331;0700;8,94176;
200331;0800;328,762;
200331;0900;279,63;
200331;1000;311,166;
200331;1100;285,195;
200331;1200;355,435;
200331;1300;297,005;
200331;1400;237,282;
200331;1500;229,758;
200331;1600;240,581;
200331;1700;239,044;
200331;1800;241,509;
200331;1900;239,663;
200331;2000;221,765;
200331;2100;232,785;
200331;2200;227,648;
200331;2300;225,304;
200401;0000;334,625;
200401;0100;299,226;
200401;0200;289,808;
200401;0300;274,793;
200401;0400;276,256;
200401;0500;302,418;
200401;0600;261,296;
200401;0700;287,787;
200401;0800;226,066;
200401;0900;257,844;
200401;1000;136,992;
200401;1100;98,4078;
200401;1200;35,1004;
200401;1300;218,084;
200401;1400;223,345;
200401;1500;206,737;
200401;1600;236,764;
200401;1700;229,192;
200401;1800;230,766;
200401;1900;212,252;
200401;2000;228,452;
200401;2100;253,323;
200401;2200;33,7146;
200401;2300;83,2366;
200402;0000;115,022;
200402;0100;234,672;
200402;0200;212,156;
200402;0300;150,955;
200402;0400;141,168;
200402;0500;110,217;
200402;0600;129,711;
200402;0700;125,957;
200402;0800;114,997;
200402;0900;294,316;
200402;1000;296,604;
200402;1100;65,1934;
200402;1200;47,3433;
200402;1300;240,742;
200402;1400;238,177;
200402;1500;235,033;
200402;1600;233,908;
200402;1700;232,531;
200402;1800;235,189;
200402;1900;233,413;
200402;2000;217,067;
200402;2100;235,551;
200402;2200;240,273;
200402;2300;300,304;
200403;0000;357,518;
200403;0100;275,206;
200403;0200;277,797;
200403;0300;186,095;
200403;0400;47,5527;
200403;0500;213,521;
200403;0600;95,045;
200403;0700;189,162;
200403;0800;183,768;
200403;0900;197,734;
200403;1000;244,456;
200403;1100;243,609;
200403;1200;256,393;
200403;1300;248,31;
200403;1400;250,897;
200403;1500;230,247;
200403;1600;236,943;
200403;1700;230,651;
200403;1800;233,296;
200403;1900;233,423;
200403;2000;226,243;
200403;2100;262,457;
200403;2200;257,6;
200403;2300;326,627;
200404;0000;7,192;
200404;0100;40,1779;
200404;0200;352,788;
200404;0300;353,579;
200404;0400;327,047;
200404;0500;37,1195;
200404;0600;147,912;
200404;0700;207,533;
200404;0800;158,54;
200404;0900;250,509;
200404;1000;228,982;
200404;1100;203,771;
200404;1200;202,069;
200404;1300;203,712;
200404;1400;207,138;
200404;1500;238,545;
200404;1600;241,96;
200404;1700;227,545;
200404;1800;232,424;
200404;1900;229,003;
200404;2000;220,845;
200404;2100;206,183;
200404;2200;242,489;
200404;2300;252,791;
200405;0000;191,397;
200405;0100;256,978;
200405;0200;268,567;
200405;0300;282,587;
200405;0400;280,711;
200405;0500;265,789;
200405;0600;275,509;
200405;0700;245,348;
200405;0800;291,455;
200405;0900;271,134;
200405;1000;251,94;
200405;1100;252,193;
200405;1200;246,42;
200405;1300;238,915;
200405;1400;246,498;
